studyId,2022-03-01,2022-03-07,2022-03-14,2022-03-15,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29
syn25999248,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn26238964,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn26241781,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn26438193,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn26957643,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn26966057,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn27762317,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn29435315,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn29525025,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,None,None,None,None,None,None,None,None,None,None,None,None
syn29772925,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,None,None,None,None,None,None,None,None,None,None,None,None
syn29866703,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn29867701,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn30283982,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn31619419,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,None,None,None,None,None,None,None,None,None,None,None,None,None
syn31748644,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,None,None,None,None,None,None,None,None,None,None,None,None,None
syn31821155,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,Pre-Synapse,None,None,None,None,None,None,None,None,None,None,None,None
syn4939872,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn4939874,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
syn4939876,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Available,Available,Available,Available,Available,Available,Available,Available,Available
syn4939878,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Available,Available,Available,Available,Available,Available,Available,Available,Available
syn4939880,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn4939884,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn4939888,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
syn4939890,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
syn4939892,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Available,Available,Available,Available,Available,Available,Available,Available,Available
syn4939894,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn4939896,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn4939902,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available
syn4939904,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn4939906,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available,Partially Available
syn4939908,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn4939910,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Available,Available,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Available
syn4939912,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn4939914,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn4939916,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
syn4939918,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Available,Available,Available,Available,Available,Available,Available,Available,Available
syn7217928,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
syn7217935,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn7217946,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn7231973,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available
syn7239479,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn8012530,None,None,None,None,None,None,None,None,None,None,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn8012599,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Available,Available,Available,Available,Available,Available,Available,Available,None
syn8016577,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
syn8016599,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo
syn8016635,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Available,Available,Available,Available,Available,Available,Available,Available,Available
syn8016650,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Under Embargo,Available,Available,Available,Available,Available,Available,Available,Available,Available
